"cd_mun","date","dengue"
150380,"2020-05-11",0
150400,"2020-05-11",0
150442,"2020-05-11",0
150460,"2020-05-11",0
150470,"2020-05-11",0
150506,"2020-05-11",2.59
150520,"2020-05-11",0
150635,"2020-05-11",0
150795,"2020-05-11",0
150810,"2020-05-11",0
150010,"2020-05-18",0
150080,"2020-05-18",0
150110,"2020-05-18",0
150120,"2020-05-18",0
150130,"2020-05-18",0
150140,"2020-05-18",0
150150,"2020-05-18",0
150178,"2020-05-18",0
150210,"2020-05-18",0
150309,"2020-05-18",0
150330,"2020-05-18",0
150380,"2020-05-18",0
150400,"2020-05-18",0
150442,"2020-05-18",0
150460,"2020-05-18",0
150470,"2020-05-18",0
150506,"2020-05-18",0
150520,"2020-05-18",0
150635,"2020-05-18",0
150795,"2020-05-18",0
150810,"2020-05-18",0
150010,"2020-05-25",0
150080,"2020-05-25",0
150110,"2020-05-25",0
150120,"2020-05-25",0
150130,"2020-05-25",0
150140,"2020-05-25",0.07
150150,"2020-05-25",0
150178,"2020-05-25",0
150210,"2020-05-25",0
150309,"2020-05-25",0
150330,"2020-05-25",0
150380,"2020-05-25",3.34
150400,"2020-05-25",0
150442,"2020-05-25",0
150460,"2020-05-25",0
150470,"2020-05-25",0
150506,"2020-05-25",0
150520,"2020-05-25",0
150635,"2020-05-25",0
150795,"2020-05-25",0
150810,"2020-05-25",0
150010,"2020-06-01",0
150080,"2020-06-01",0
150110,"2020-06-01",0
150120,"2020-06-01",0
150130,"2020-06-01",0
150140,"2020-06-01",0.07
150150,"2020-06-01",0
150178,"2020-06-01",0
150210,"2020-06-01",0
150309,"2020-06-01",0
150330,"2020-06-01",0
150380,"2020-06-01",1.67
150400,"2020-06-01",0
150442,"2020-06-01",0
150460,"2020-06-01",0
150470,"2020-06-01",0
150506,"2020-06-01",0
150520,"2020-06-01",0
150635,"2020-06-01",0
150795,"2020-06-01",0
150810,"2020-06-01",0
150010,"2020-06-08",0
150080,"2020-06-08",0
150110,"2020-06-08",0
150120,"2020-06-08",0
150130,"2020-06-08",0
150140,"2020-06-08",0.13
150150,"2020-06-08",0
150178,"2020-06-08",0
150210,"2020-06-08",0
150309,"2020-06-08",0
150330,"2020-06-08",0
150380,"2020-06-08",1.67
150400,"2020-06-08",0
150442,"2020-06-08",0
150460,"2020-06-08",0
150470,"2020-06-08",0
150506,"2020-06-08",0
150520,"2020-06-08",0
150635,"2020-06-08",0
150795,"2020-06-08",0
150810,"2020-06-08",0
150010,"2020-06-15",0
150080,"2020-06-15",0
150110,"2020-06-15",0
150120,"2020-06-15",0
150130,"2020-06-15",0
150140,"2020-06-15",0
150150,"2020-06-15",0
150178,"2020-06-15",0
150210,"2020-06-15",0
150309,"2020-06-15",0
150330,"2020-06-15",0
150380,"2020-06-15",0
150400,"2020-06-15",0
150442,"2020-06-15",0
150460,"2020-06-15",0
150470,"2020-06-15",0
150506,"2020-06-15",0
