"","cd_mun","cases","year_month"
"70",150150,0,"2019-09"
"71",150178,0,"2019-09"
"72",150210,0,"2019-09"
"73",150309,0,"2019-09"
"74",150330,0,"2019-09"
"75",150380,0,"2019-09"
"76",150400,0,"2019-09"
"77",150442,0,"2019-09"
"78",150460,3.21,"2019-09"
"79",150470,0,"2019-09"
"80",150506,0,"2019-09"
"81",150520,0,"2019-09"
"82",150635,0,"2019-09"
"83",150795,0,"2019-09"
"84",150810,0,"2019-09"
"85",150010,0.63,"2019-08"
"86",150080,0,"2019-08"
"87",150110,0,"2019-08"
"88",150120,0,"2019-08"
"89",150130,0,"2019-08"
"90",150140,0.94,"2019-08"
"91",150150,0,"2019-08"
"92",150178,0,"2019-08"
"93",150210,0,"2019-08"
"94",150309,0,"2019-08"
"95",150330,0,"2019-08"
"96",150380,0,"2019-08"
"97",150400,0,"2019-08"
"98",150442,0.76,"2019-08"
"99",150460,9.64,"2019-08"
"100",150470,0,"2019-08"
"101",150506,0,"2019-08"
"102",150520,0,"2019-08"
"103",150635,9.49,"2019-08"
"104",150795,1.88,"2019-08"
"105",150810,0.88,"2019-08"
"106",150010,0,"2019-07"
"107",150080,0,"2019-07"
"108",150110,0,"2019-07"
"109",150120,0,"2019-07"
"110",150130,0,"2019-07"
"111",150140,0.87,"2019-07"
"112",150150,0,"2019-07"
"113",150178,0,"2019-07"
"114",150210,0,"2019-07"
"115",150309,0,"2019-07"
"116",150330,0,"2019-07"
"117",150380,1.69,"2019-07"
"118",150400,0,"2019-07"
"119",150442,0,"2019-07"
"120",150460,0,"2019-07"
"121",150470,0,"2019-07"
"122",150506,0,"2019-07"
"123",150520,0,"2019-07"
"124",150635,0,"2019-07"
"125",150795,0,"2019-07"
"126",150810,0.88,"2019-07"
"127",150010,0.63,"2019-06"
"128",150080,0.19,"2019-06"
"129",150110,0,"2019-06"
"130",150120,0,"2019-06"
"131",150130,0,"2019-06"
"132",150140,0.33,"2019-06"
"133",150150,0,"2019-06"
"134",150178,0,"2019-06"
"135",150210,0.73,"2019-06"
"136",150309,0,"2019-06"
"137",150330,0,"2019-06"
"138",150380,11.83,"2019-06"
"139",150400,0,"2019-06"
"140",150442,3.04,"2019-06"
"141",150460,0,"2019-06"
"142",150470,0,"2019-06"
"143",150506,5.27,"2019-06"
"144",150520,0,"2019-06"
"145",150635,9.49,"2019-06"
"146",150795,1.88,"2019-06"
"147",150810,0.88,"2019-06"
"148",150010,0,"2019-05"
"149",150080,0,"2019-05"
"150",150110,0,"2019-05"
"151",150120,0,"2019-05"
"152",150130,0,"2019-05"
"153",150140,0.74,"2019-05"
"154",150150,0,"2019-05"
"155",150178,1.51,"2019-05"
"156",150210,0.73,"2019-05"
"157",150309,0,"2019-05"
"158",150330,0,"2019-05"
"159",150380,0,"2019-05"
"160",150400,0,"2019-05"
"161",150442,0.76,"2019-05"
"162",150460,0,"2019-05"
"163",150470,0,"2019-05"
"164",150506,26.34,"2019-05"
"165",150520,0,"2019-05"
"166",150635,0,"2019-05"
"167",150795,0.94,"2019-05"
"168",150810,0,"2019-05"
"169",150010,0.63,"2019-04"
"170",150080,0.19,"2019-04"
"171",150110,0,"2019-04"
"172",150120,0,"2019-04"
"173",150130,0,"2019-04"
"174",150140,0.27,"2019-04"
"175",150150,0,"2019-04"
"176",150178,0,"2019-04"
"177",150210,0.73,"2019-04"
"178",150309,0,"2019-04"
"179",150330,0,"2019-04"
"180",150380,3.38,"2019-04"
"181",150400,0,"2019-04"
"182",150442,0,"2019-04"
"183",150460,0,"2019-04"
"184",150470,0,"2019-04"
"185",150506,31.61,"2019-04"
"186",150520,0,"2019-04"
"187",150635,0,"2019-04"
"188",150795,2.82,"2019-04"
"189",150810,0.88,"2019-04"
"190",150010,0,"2019-03"
"191",150080,0.19,"2019-03"
"192",150110,0,"2019-03"
"193",150120,0,"2019-03"
"194",150130,0,"2019-03"
"195",150140,0.27,"2019-03"
"196",150150,1.59,"2019-03"
"197",150178,0,"2019-03"
"198",150210,0,"2019-03"
"199",150309,0,"2019-03"
"200",150330,0,"2019-03"
"201",150380,5.07,"2019-03"
"202",150400,0,"2019-03"
"203",150442,0,"2019-03"
"204",150460,0,"2019-03"
"205",150470,0,"2019-03"
"206",150506,22.39,"2019-03"
"207",150520,0,"2019-03"
"208",150635,4.74,"2019-03"
"209",150795,0.94,"2019-03"
"210",150810,3.52,"2019-03"
"211",150010,0.63,"2019-02"
"212",150080,0.38,"2019-02"
"213",150110,0,"2019-02"
"214",150120,0,"2019-02"
"215",150130,0,"2019-02"
"216",150140,0.74,"2019-02"
"217",150150,0,"2019-02"
"218",150178,0,"2019-02"
"219",150210,0,"2019-02"
"220",150309,0,"2019-02"
"221",150330,0,"2019-02"
"222",150380,3.38,"2019-02"
"223",150400,0,"2019-02"
"224",150442,0,"2019-02"
"225",150460,0,"2019-02"
"226",150470,6.09,"2019-02"
"227",150506,27.66,"2019-02"
"228",150520,0,"2019-02"
"229",150635,4.74,"2019-02"
"230",150795,0.94,"2019-02"
"231",150810,2.64,"2019-02"
"232",150010,0,"2019-01"
"233",150080,0.57,"2019-01"
"234",150110,0,"2019-01"
"235",150120,0,"2019-01"
"236",150130,2.41,"2019-01"
"237",150140,0.13,"2019-01"
"238",150150,0,"2019-01"
"239",150178,0,"2019-01"
"240",150210,1.45,"2019-01"
"241",150309,0,"2019-01"
"242",150330,0,"2019-01"
"243",150380,3.38,"2019-01"
"244",150400,0,"2019-01"
"245",150442,0,"2019-01"
"246",150460,0,"2019-01"
"247",150470,36.54,"2019-01"
"248",150506,23.71,"2019-01"
"249",150520,0,"2019-01"
"250",150635,4.74,"2019-01"
"251",150795,4.7,"2019-01"
"252",150810,0,"2019-01"
