"cd_mun","date","ndvi"
"1507953","2019-04-09",NA
"1508100","2019-04-09",NA
"1500107","2019-04-16",NA
"1500800","2019-04-16",NA
"1501105","2019-04-16",NA
"1501204","2019-04-16",NA
"1501303","2019-04-16",NA
"1501402","2019-04-16",NA
"1501501","2019-04-16",NA
"1501782","2019-04-16",NA
"1502103","2019-04-16",NA
"1503093","2019-04-16",NA
"1503309","2019-04-16",NA
"1503804","2019-04-16",NA
"1504000","2019-04-16",NA
"1504422","2019-04-16",NA
"1504604","2019-04-16",NA
"1504703","2019-04-16",NA
"1505064","2019-04-16",NA
"1505205","2019-04-16",NA
"1506351","2019-04-16",NA
"1507953","2019-04-16",NA
"1508100","2019-04-16",NA
"1500107","2019-04-23",0.0185848295263688
"1500800","2019-04-23",0.019313638236506
"1501105","2019-04-23",0.0215468562521523
"1501204","2019-04-23",0.0208762258971464
"1501303","2019-04-23",0.0162626320491933
"1501402","2019-04-23",0.0136346559297218
"1501501","2019-04-23",0.0208489294210944
"1501782","2019-04-23",0.0211441475253966
"1502103","2019-04-23",0.0198997213505711
"1503093","2019-04-23",0.0215962976486052
"1503309","2019-04-23",0.0198194177583697
"1503804","2019-04-23",0.0207024050269529
"1504000","2019-04-23",0.017548829712065
"1504422","2019-04-23",0.0198855670103093
"1504604","2019-04-23",0.0202485966057441
"1504703","2019-04-23",0.0215051540075535
"1505064","2019-04-23",0.0208017499589597
"1505205","2019-04-23",0.0212325789332
"1506351","2019-04-23",0.0210472398880692
"1507953","2019-04-23",0.0216069575507946
"1508100","2019-04-23",0.0195546737511845
"1500107","2019-04-30",NA
"1500800","2019-04-30",NA
"1501105","2019-04-30",NA
"1501204","2019-04-30",NA
"1501303","2019-04-30",NA
"1501402","2019-04-30",NA
"1501501","2019-04-30",NA
"1501782","2019-04-30",NA
"1502103","2019-04-30",NA
"1503093","2019-04-30",NA
"1503309","2019-04-30",NA
"1503804","2019-04-30",NA
"1504000","2019-04-30",NA
"1504422","2019-04-30",NA
"1504604","2019-04-30",NA
"1504703","2019-04-30",NA
"1505064","2019-04-30",NA
"1505205","2019-04-30",NA
"1506351","2019-04-30",NA
"1507953","2019-04-30",NA
"1508100","2019-04-30",NA
"1500107","2019-05-07",0.0176106661676647
"1500800","2019-05-07",0.0184552653748947
"1501105","2019-05-07",0.0204963561158164
"1501204","2019-05-07",0.020962761292954
"1501303","2019-05-07",0.016598177178272
"1501402","2019-05-07",0.0129353172143005
"1501501","2019-05-07",0.0199179861111111
"1501782","2019-05-07",0.0195732733959951
"1502103","2019-05-07",0.01901796875
"1503093","2019-05-07",0.0204000577248175
"1503309","2019-05-07",0.0188350142092393
"1503804","2019-05-07",0.0189137546468401
"1504000","2019-05-07",0.0166270013568521
"1504422","2019-05-07",0.0191662601626016
"1504604","2019-05-07",0.0193562538320049
"1504703","2019-05-07",0.0207038120267492
"1505064","2019-05-07",0.0210324118636982
